id1,id2,dist
R029_S1,R029_S1,0.0
R029_S1,R029_S2,52.09107728
R029_S1,R030_S1,359.33754882
R029_S1,R030_S2,328.33069627
R029_S1,R031_S1,225.59020318
R029_S1,R031_S2,293.23008887
R029_S1,R032_S1,665.65913555
R029_S1,R092_S1,526.23024426
R029_S1,R131_SM83,1286.72841019
R029_S1,R133_S2,924.25466978
R029_S1,R133_S4,886.07212698
R029_S1,R134_S1,985.19805178
R029_S1,R134_S2,939.02942085
R029_S1,R154_S2,1021.58707038
R029_S1,R154_S1,982.04831679
R029_S1,R085_S2,1756.98695363
R029_S1,R116_S2,1470.0783369
R029_S1,R085_S1,1785.97242302
R029_S1,R032_S2,669.94530332
R029_S1,R032_SM46,689.27617036
R029_S1,R069_S1,1076.54412869
R029_S1,R069_S4,1073.21882385
R029_S1,R069_SM67,1070.10976275
R029_S1,R069_S3,1111.83833708
R029_S1,R071_S1,1603.27217789
R029_S1,R074_S3,548.4729524
R029_S1,R071_S2,1614.99517109
R029_S1,R074_S2,535.18188462
R029_S1,R074_S1,556.48458673
R029_S1,R077_S2,693.14755929
R029_S1,R126_S1,1346.97381819
R029_S1,R131_S1,1321.80871193
R029_S1,R131_SM82,1289.31191525
R029_S1,R126_S2,1361.47964854
R029_S1,R131_S2,1295.08184956
R029_S1,R141_S1,567.36176588
R029_S1,R141_S2,580.37000835
R029_S1,R142_S2,1514.751897
R029_S1,R142_S1,1529.81884302
R029_S1,R135_S2,1219.90150551
R029_S1,R116_S1,1481.86949102
R029_S1,R135_S1,1237.92287546
R029_S2,R029_S2,0.0
R029_S2,R030_S1,409.41876162
R029_S2,R030_S2,377.30324159
R029_S2,R031_S1,277.31382754
R029_S2,R031_S2,344.50726854
R029_S2,R032_S1,619.27312688
R029_S2,R092_S1,578.25967054
R029_S2,R131_SM83,1241.69167872
R029_S2,R133_S2,910.90187714
R029_S2,R133_S4,873.3146644999999
R029_S2,R134_S1,966.26151145
R029_S2,R134_S2,921.8905428999999
R029_S2,R154_S2,1031.32716969
R029_S2,R154_S1,992.03866084
R029_S2,R085_S2,1727.56290649
R029_S2,R116_S2,1454.26499671
R029_S2,R085_S1,1755.72696214
R029_S2,R032_S2,622.64159526
R029_S2,R032_SM46,643.32066323
R029_S2,R069_S1,1106.97068334
R029_S2,R069_S4,1104.72566351
R029_S2,R069_SM67,1101.57052169
R029_S2,R069_S3,1144.64179611
R029_S2,R071_S1,1589.18155052
R029_S2,R074_S3,548.56788436
R029_S2,R071_S2,1599.68468606
R029_S2,R074_S2,530.55379478
R029_S2,R074_S1,555.53191919
R029_S2,R077_S2,731.56229316
R029_S2,R126_S1,1384.75919292
R029_S2,R131_S1,1277.04122573
R029_S2,R131_SM82,1244.51674901
R029_S2,R126_S2,1398.80918751
R029_S2,R131_S2,1250.42949383
R029_S2,R141_S1,608.50760813
R029_S2,R141_S2,621.5837069
R029_S2,R142_S2,1508.49408419
R029_S2,R142_S1,1522.65447485
R029_S2,R135_S2,1199.72940992
R029_S2,R116_S1,1464.69189557
R029_S2,R135_S1,1216.39322847
R030_S1,R030_S1,0.0
R030_S1,R030_S2,40.50481481
R030_S1,R031_S1,180.65086044
R030_S1,R031_S2,170.78285569999997
R030_S1,R032_S1,959.96038616
R030_S1,R092_S1,225.05742171
R030_S1,R131_SM83,1555.49853277
R030_S1,R133_S2,987.8210011
R030_S1,R133_S4,948.82542121
R030_S1,R134_S1,1081.47733559
R030_S1,R134_S2,1026.54270877
R030_S1,R154_S2,919.84236817
R030_S1,R154_S1,881.50963552
R030_S1,R085_S2,1899.16003792
R030_S1,R116_S2,1522.88597014
R030_S1,R085_S1,1933.62783763
R030_S1,R032_S2,970.55929816
R030_S1,R032_SM46,979.69761333
R030_S1,R069_S1,825.19056728
R030_S1,R069_S4,814.48930649
R030_S1,R069_SM67,811.82706634
R030_S1,R069_S3,842.74399289
R030_S1,R071_S1,1640.10139041
R030_S1,R074_S3,575.80147277
R030_S1,R071_S2,1660.01897079
R030_S1,R074_S2,595.06851533
R030_S1,R074_S1,588.65115273
R030_S1,R077_S2,406.34977763
R030_S1,R126_S1,1040.36289656
R030_S1,R131_S1,1587.84206164
R030_S1,R131_SM82,1556.08612241
R030_S1,R126_S2,1057.40253116
R030_S1,R131_S2,1560.61132641
R030_S1,R141_S1,271.79151469
R030_S1,R141_S2,282.32819326
R030_S1,R142_S2,1499.88513991
R030_S1,R142_S1,1520.73936986
R030_S1,R135_S2,1312.15089507
R030_S1,R116_S1,1543.79321373
R030_S1,R135_S1,1338.72736244
R030_S2,R030_S2,0.0
R030_S2,R031_S1,170.57966496
R030_S2,R031_S2,176.77334795
R030_S2,R032_S1,920.05261988
R030_S2,R092_S1,264.36427794
R030_S2,R131_SM83,1514.99934542
R030_S2,R133_S2,953.48205392
R030_S2,R133_S4,914.37679773
R030_S2,R134_S1,1045.58480823
R030_S2,R134_S2,990.95701022
R030_S2,R154_S2,899.0450219
R030_S2,R154_S1,860.33443476
R030_S2,R085_S2,1862.13928125
R030_S2,R116_S2,1490.67839506
R030_S2,R085_S1,1896.36945622
R030_S2,R032_S2,930.8400353000001
R030_S2,R032_SM46,939.66690074
R030_S2,R069_S1,824.85125223
R030_S2,R069_S4,815.4544586000001
R030_S2,R069_SM67,812.69374526
R030_S2,R069_S3,845.84165863
R030_S2,R071_S1,1609.23869964
R030_S2,R074_S3,540.86185818
R030_S2,R071_S2,1628.59239325
R030_S2,R074_S2,558.51896617
R030_S2,R074_S1,553.5660975
R030_S2,R077_S2,409.5525977
R030_S2,R126_S1,1052.1230747000002
R030_S2,R131_S1,1547.33763051
R030_S2,R131_SM82,1515.5829226
R030_S2,R126_S2,1068.61226813
R030_S2,R131_S2,1520.10682029
R030_S2,R141_S1,274.4965546
R030_S2,R141_S2,286.04961785
R030_S2,R142_S2,1472.87204056
R030_S2,R142_S1,1493.27901821
R030_S2,R135_S2,1277.03775826
R030_S2,R116_S1,1511.0022027
R030_S2,R135_S1,1303.18397142
R031_S1,R031_S1,0.0
R031_S1,R031_S2,69.38795723
R031_S1,R032_S1,882.52341634
R031_S1,R092_S1,301.92630512
R031_S1,R131_SM83,1498.2464275999998
R031_S1,R133_S2,1036.61328
R031_S1,R133_S4,997.28914376
R031_S1,R134_S1,1116.10586282
R031_S1,R134_S2,1064.58053206
R031_S1,R154_S2,1039.28860001
R031_S1,R154_S1,999.8618049
R031_S1,R085_S2,1917.02144261
R031_S1,R116_S2,1582.65974932
R031_S1,R085_S1,1948.74723051
R031_S1,R032_S2,888.76521708
R031_S1,R032_SM46,905.06609271
R031_S1,R069_S1,994.38808418
R031_S1,R069_S4,985.47536589
R031_S1,R069_SM67,982.68516183
R031_S1,R069_S3,1016.32289461
R031_S1,R071_S1,1708.00135678
R031_S1,R074_S3,628.81660288
R031_S1,R071_S2,1724.28363499
R031_S1,R074_S2,633.69970571
R031_S1,R074_S1,640.07585992
R031_S1,R077_S2,580.12725212
R031_S1,R126_S1,1220.44944428
R031_S1,R131_S1,1532.5113371
R031_S1,R131_SM82,1500.16308544
R031_S1,R126_S2,1237.28852987
R031_S1,R131_S2,1505.52663513
R031_S1,R141_S1,445.07574349
R031_S1,R141_S2,456.59560314
R031_S1,R142_S2,1589.7240638
R031_S1,R142_S1,1608.23386102
R031_S1,R135_S2,1351.43624427
R031_S1,R116_S1,1599.45263721
R031_S1,R135_S1,1374.08195506
R031_S2,R031_S2,0.0
R031_S2,R032_S1,951.90349386
R031_S2,R092_S1,239.48300991
R031_S2,R131_SM83,1567.46777131
R031_S2,R133_S2,1090.80363398
R031_S2,R133_S4,1051.44778968
R031_S2,R134_S1,1173.66313843
R031_S2,R134_S2,1121.29015726
R031_S2,R154_S2,1070.95534434
R031_S2,R154_S1,1031.891387
R031_S2,R085_S2,1978.74189802
R031_S2,R116_S2,1635.09482028
