id,time,sum_flow,avg_speed,clusterID
R001_SM1,2019-04-25 00:00:00,26.0,33.0,0
R001_SM2,2019-04-25 00:00:00,2.0,25.400000000000002,0
R001_SM3,2019-04-25 00:00:00,7.0,24.4,0
R002_S1,2019-04-25 00:00:00,1.0,3.0,1
R002_S2,2019-04-25 00:00:00,0.0,0.0,1
R002_S4,2019-04-25 00:00:00,1.0,1.0,1
R002_S5,2019-04-25 00:00:00,19.0,26.9473684210526,1
R003_SM7,2019-04-25 00:00:00,17.0,51.5428571428571,2
R003_SM8,2019-04-25 00:00:00,8.0,20.4705882352941,2
R003_SM9,2019-04-25 00:00:00,6.0,33.7692307692308,2
R028_S1,2019-04-25 00:00:00,3.0,26.3333333333333,3
R028_S2,2019-04-25 00:00:00,1.0,20.0,3
R028_S3,2019-04-25 00:00:00,6.0,43.8333333333333,3
R029_S1,2019-04-25 00:00:00,2.0,18.75,4
R029_S2,2019-04-25 00:00:00,6.0,31.0769230769231,4
R030_S2,2019-04-25 00:00:00,5.0,26.0,5
R031_S1,2019-04-25 00:00:00,7.0,12.3571428571429,5
R031_S2,2019-04-25 00:00:00,7.0,33.0714285714286,5
R032_S2,2019-04-25 00:00:00,1.0,6.5,6
R032_SM46,2019-04-25 00:00:00,1.0,17.6666666666667,6
R069_S1,2019-04-25 00:00:00,7.0,40.9333333333333,7
R069_S4,2019-04-25 00:00:00,39.0,28.2784810126582,7
R069_SM67,2019-04-25 00:00:00,18.0,25.250000000000004,7
R071_S2,2019-04-25 00:00:00,0.0,20.0,8
R074_S1,2019-04-25 00:00:00,1.0,5.0,9
R074_S3,2019-04-25 00:00:00,1.0,8.0,-1
R077_S2,2019-04-25 00:00:00,3.0,30.5,10
R085_S1,2019-04-25 00:00:00,1.0,1.0,11
R085_S2,2019-04-25 00:00:00,0.0,0.0,11
R116_S1,2019-04-25 00:00:00,3.0,5.5,8
R116_S2,2019-04-25 00:00:00,4.0,21.0,8
R131_S1,2019-04-25 00:00:00,1.0,6.5,12
R131_S2,2019-04-25 00:00:00,22.0,42.4772727272727,13
R131_SM82,2019-04-25 00:00:00,24.0,42.25,13
R131_SM83,2019-04-25 00:00:00,12.0,46.96,13
R133_S2,2019-04-25 00:00:00,7.0,6.285714285714291,14
R133_S4,2019-04-25 00:00:00,10.0,37.5,14
R134_S1,2019-04-25 00:00:00,4.0,10.0,14
R134_S2,2019-04-25 00:00:00,6.0,14.0833333333333,14
R135_S1,2019-04-25 00:00:00,2.0,3.8,15
R135_S2,2019-04-25 00:00:00,2.0,23.799999999999997,15
