id,time,sum_flow,avg_speed
R001_SM1,2019-04-25 00:00:00,26,33.0
R001_SM2,2019-04-25 00:00:00,2,25.4
R001_SM3,2019-04-25 00:00:00,7,24.4
R002_S1,2019-04-25 00:00:00,1,3.0
R002_S2,2019-04-25 00:00:00,0,0.0
R002_S4,2019-04-25 00:00:00,1,1.0
R002_S5,2019-04-25 00:00:00,19,26.9473684210526
R003_SM7,2019-04-25 00:00:00,17,51.5428571428571
R003_SM8,2019-04-25 00:00:00,8,20.4705882352941
R003_SM9,2019-04-25 00:00:00,6,33.7692307692308
R028_S1,2019-04-25 00:00:00,3,26.3333333333333
R028_S2,2019-04-25 00:00:00,1,20.0
R028_S3,2019-04-25 00:00:00,6,43.8333333333333
R029_S1,2019-04-25 00:00:00,2,18.75
R029_S2,2019-04-25 00:00:00,6,31.0769230769231
R030_S2,2019-04-25 00:00:00,5,26.0
R031_S1,2019-04-25 00:00:00,7,12.3571428571429
R031_S2,2019-04-25 00:00:00,7,33.0714285714286
R032_S2,2019-04-25 00:00:00,1,6.5
R032_SM46,2019-04-25 00:00:00,1,17.6666666666667
R069_S1,2019-04-25 00:00:00,7,40.9333333333333
R069_S4,2019-04-25 00:00:00,39,28.2784810126582
R069_SM67,2019-04-25 00:00:00,18,25.25
R071_S2,2019-04-25 00:00:00,0,20.0
R074_S1,2019-04-25 00:00:00,1,5.0
R074_S3,2019-04-25 00:00:00,1,8.0
R077_S2,2019-04-25 00:00:00,3,30.5
R085_S1,2019-04-25 00:00:00,1,1.0
R085_S2,2019-04-25 00:00:00,0,0.0
R116_S1,2019-04-25 00:00:00,3,5.5
R116_S2,2019-04-25 00:00:00,4,21.0
R131_S1,2019-04-25 00:00:00,1,6.5
R131_S2,2019-04-25 00:00:00,22,42.4772727272727
R131_SM82,2019-04-25 00:00:00,24,42.25
R131_SM83,2019-04-25 00:00:00,12,46.96
R133_S2,2019-04-25 00:00:00,7,6.28571428571429
R133_S4,2019-04-25 00:00:00,10,37.5
R134_S1,2019-04-25 00:00:00,4,10.0
R134_S2,2019-04-25 00:00:00,6,14.0833333333333
R135_S1,2019-04-25 00:00:00,2,3.8
R135_S2,2019-04-25 00:00:00,2,23.8
R141_S1,2019-04-25 00:00:00,0,0.0
R141_S2,2019-04-25 00:00:00,0,24.0
R142_S1,2019-04-25 00:00:00,4,13.375
R142_S2,2019-04-25 00:00:00,37,24.2876712328767
R154_S1,2019-04-25 00:00:00,6,11.3333333333333
R001_SM1,2019-04-25 00:15:00,17,35.9411764705882
R001_SM2,2019-04-25 00:15:00,6,20.5833333333333
R001_SM3,2019-04-25 00:15:00,8,15.5294117647059
R002_S1,2019-04-25 00:15:00,5,11.2
R002_S2,2019-04-25 00:15:00,0,0.0
R002_S4,2019-04-25 00:15:00,0,0.0
R002_S5,2019-04-25 00:15:00,26,24.1153846153846
R003_SM7,2019-04-25 00:15:00,25,43.7450980392157
R003_SM8,2019-04-25 00:15:00,7,13.4666666666667
R003_SM9,2019-04-25 00:15:00,4,20.375
R028_S1,2019-04-25 00:15:00,7,13.8571428571429
R028_S2,2019-04-25 00:15:00,0,0.0
R028_S3,2019-04-25 00:15:00,7,44.5714285714286
R029_S1,2019-04-25 00:15:00,4,22.4444444444444
R029_S2,2019-04-25 00:15:00,8,26.6875
R030_S2,2019-04-25 00:15:00,7,34.0
R031_S1,2019-04-25 00:15:00,5,23.5454545454545
R031_S2,2019-04-25 00:15:00,5,29.9090909090909
R032_S2,2019-04-25 00:15:00,3,10.0
R032_SM46,2019-04-25 00:15:00,0,20.0
R069_S1,2019-04-25 00:15:00,11,44.8695652173913
R069_S4,2019-04-25 00:15:00,33,24.3333333333333
R069_SM67,2019-04-25 00:15:00,11,25.0454545454545
R071_S2,2019-04-25 00:15:00,1,13.0
R074_S1,2019-04-25 00:15:00,0,2.0
R074_S3,2019-04-25 00:15:00,0,3.0
R077_S2,2019-04-25 00:15:00,0,10.0
R085_S1,2019-04-25 00:15:00,0,0.0
R085_S2,2019-04-25 00:15:00,1,11.0
R116_S1,2019-04-25 00:15:00,2,34.75
R116_S2,2019-04-25 00:15:00,2,17.2
R131_S1,2019-04-25 00:15:00,0,14.0
R131_S2,2019-04-25 00:15:00,21,40.3095238095238
R131_SM82,2019-04-25 00:15:00,22,44.4318181818182
R131_SM83,2019-04-25 00:15:00,10,51.3809523809524
R133_S2,2019-04-25 00:15:00,6,2.83333333333333
R133_S4,2019-04-25 00:15:00,13,38.6923076923077
R134_S1,2019-04-25 00:15:00,5,13.8
R134_S2,2019-04-25 00:15:00,3,7.5
R135_S1,2019-04-25 00:15:00,4,13.625
R135_S2,2019-04-25 00:15:00,3,20.8333333333333
R141_S1,2019-04-25 00:15:00,0,21.0
R141_S2,2019-04-25 00:15:00,1,23.0
R142_S1,2019-04-25 00:15:00,1,19.6666666666667
R142_S2,2019-04-25 00:15:00,37,25.7361111111111
R154_S1,2019-04-25 00:15:00,4,2.25
R001_SM1,2019-04-25 00:30:00,14,33.25
R001_SM2,2019-04-25 00:30:00,2,20.0
R001_SM3,2019-04-25 00:30:00,4,10.5
R002_S1,2019-04-25 00:30:00,1,0.0
R002_S2,2019-04-25 00:30:00,0,0.0
R002_S4,2019-04-25 00:30:00,2,14.0
R002_S5,2019-04-25 00:30:00,9,27.1111111111111
R003_SM7,2019-04-25 00:30:00,16,48.59375
R003_SM8,2019-04-25 00:30:00,5,12.1
R003_SM9,2019-04-25 00:30:00,5,21.2
R028_S1,2019-04-25 00:30:00,3,13.6666666666667
R028_S2,2019-04-25 00:30:00,3,65.6666666666667
R028_S3,2019-04-25 00:30:00,7,25.0
R029_S1,2019-04-25 00:30:00,3,20.0
R029_S2,2019-04-25 00:30:00,3,27.8333333333333
R030_S2,2019-04-25 00:30:00,3,35.6666666666667
R031_S1,2019-04-25 00:30:00,3,14.1666666666667
R031_S2,2019-04-25 00:30:00,3,27.8333333333333
R032_S2,2019-04-25 00:30:00,1,11.5
R032_SM46,2019-04-25 00:30:00,1,22.5
R069_S1,2019-04-25 00:30:00,7,38.5
R069_S4,2019-04-25 00:30:00,34,26.3529411764706
R069_SM67,2019-04-25 00:30:00,11,25.1304347826087
R071_S2,2019-04-25 00:30:00,1,17.0
R074_S1,2019-04-25 00:30:00,1,2.0
R074_S3,2019-04-25 00:30:00,0,0.0
R077_S2,2019-04-25 00:30:00,1,26.5
R085_S1,2019-04-25 00:30:00,0,0.0
R085_S2,2019-04-25 00:30:00,0,0.0
R116_S1,2019-04-25 00:30:00,1,12.5
